epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,13971,0.04827,0.3819,0.8804,0.9684,0.97082,0.99017,0.99005,0.07503,0.40967,0.30101,0.003961,0.003961,0.003961
63,14197.4,0.04728,0.38073,0.88195,0.96909,0.97084,0.9902,0.99005,0.07645,0.4104,0.30178,0.003862,0.003862,0.003862
64,14425.5,inf,0.38435,0.88129,0.96936,0.97061,0.99021,0.99001,0.08009,0.41201,0.30403,0.003763,0.003763,0.003763
65,14653.5,0.04567,0.37977,0.87976,0.96929,0.97023,0.99034,0.99011,0.08576,0.40574,0.3072,0.003664,0.003664,0.003664
66,14879.8,inf,0.38123,0.88077,0.97024,0.96992,0.9904,0.99011,0.0902,0.39834,0.30958,0.003565,0.003565,0.003565
67,15106.7,0.04428,0.37785,0.8809,0.96886,0.97045,0.99031,0.98998,0.09532,0.38797,0.31216,0.003466,0.003466,0.003466
68,15332.3,inf,0.3782,0.8803,0.9686,0.97077,0.99016,0.98985,0.09963,0.377,0.31434,0.003367,0.003367,0.003367
69,15557.4,0.04349,0.3768,0.87926,0.97232,0.96731,0.99026,0.9899,0.10139,0.36709,0.31529,0.003268,0.003268,0.003268
70,15783.6,inf,0.37463,0.88071,0.97225,0.96758,0.99026,0.98988,0.10375,0.35779,0.31649,0.003169,0.003169,0.003169
71,16011.8,0.04164,0.37524,0.87945,0.97227,0.96795,0.99025,0.98984,0.10545,0.35054,0.31735,0.00307,0.00307,0.00307
72,16237.9,0.0407,0.37264,0.87938,0.96919,0.9701,0.99033,0.98987,0.10568,0.34198,0.31736,0.002971,0.002971,0.002971
73,16462.4,0.04033,0.37029,0.87991,0.97003,0.96937,0.99037,0.98991,0.10699,0.33299,0.31796,0.002872,0.002872,0.002872
74,16685.8,0.03927,0.3718,0.87938,0.96933,0.96959,0.99036,0.98984,0.10815,0.32556,0.31848,0.002773,0.002773,0.002773
75,16909.8,inf,0.3673,0.87893,0.97275,0.9666,0.99036,0.98977,0.10779,0.31547,0.31832,0.002674,0.002674,0.002674
76,17135.8,0.03846,0.36589,0.8801,0.97297,0.96647,0.99044,0.98975,0.10691,0.30915,0.31785,0.002575,0.002575,0.002575
77,17359.2,inf,0.36533,0.88103,0.97309,0.96655,0.99042,0.9897,0.10624,0.30316,0.3175,0.002476,0.002476,0.002476
78,17592.5,inf,0.36578,0.87855,0.97275,0.96683,0.99037,0.98961,0.10553,0.2963,0.31717,0.002377,0.002377,0.002377
79,17809.1,0.03703,0.36312,0.8806,0.97337,0.96683,0.99044,0.9897,0.1047,0.28954,0.31679,0.002278,0.002278,0.002278
80,18020,0.03649,0.36262,0.88038,0.97366,0.96683,0.99042,0.98971,0.10348,0.28472,0.31624,0.002179,0.002179,0.002179
81,215.612,inf,0.36159,0.88035,0.97397,0.96683,0.9904,0.98964,0.10376,0.28456,0.31635,0.00208,0.00208,0.00208
82,530.824,inf,0.36485,0.87953,0.97488,0.9664,0.99034,0.98951,0.10403,0.28366,0.31644,0.001981,0.001981,0.001981
82,453.897,inf,0.35939,0.88022,0.97487,0.96648,0.99037,0.98962,0.1037,0.28427,0.31629,0.001981,0.001981,0.001981
83,975.444,0.0335,0.36583,0.87929,0.97472,0.9663,0.99038,0.98959,0.10379,0.28211,0.31626,0.001882,0.001882,0.001882
83,901.023,0.0337,0.36432,0.87949,0.97448,0.96624,0.99039,0.98961,0.10435,0.28376,0.31655,0.001882,0.001882,0.001882
84,1407.61,inf,0.36492,0.87854,0.97465,0.96665,0.99037,0.98956,0.10377,0.28107,0.31625,0.001783,0.001783,0.001783
