epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,542.187,0.96158,1.44958,0.88447,1.07735,0.73631,0.67629,0.7197,0.49554,0.73631,0.67629,0.7203,0.47001,1.12124,1.76079,1.048,1.19644,0.000650909,0.000650909,0.000650909
57,552.063,0.99096,1.51539,0.92103,1.08851,0.75771,0.65919,0.73028,0.49734,0.75771,0.65919,0.72939,0.48743,1.07372,1.83183,1.0408,1.1736,0.000636762,0.000636762,0.000636762
58,561.719,0.98504,1.51516,0.89815,1.08445,0.76229,0.71111,0.73864,0.50713,0.76229,0.71111,0.75059,0.49159,1.10283,1.79501,1.02241,1.18537,0.000622615,0.000622615,0.000622615
59,571.306,0.96562,1.53143,0.91396,1.08561,0.79581,0.67222,0.74546,0.49618,0.79581,0.67222,0.74574,0.49266,1.09685,1.73993,1.03241,1.18844,0.000608468,0.000608468,0.000608468
60,580.802,0.94173,1.44317,0.83621,1.04264,0.60358,0.75,0.6885,0.46883,0.62006,0.75,0.69259,0.46769,1.10033,1.76665,1.07398,1.20721,0.000594321,0.000594321,0.000594321
61,590.528,0.96267,1.45319,0.85539,1.05996,0.69902,0.70556,0.69882,0.46532,0.69902,0.70556,0.70278,0.46395,1.11154,1.80714,1.04947,1.20816,0.000580174,0.000580174,0.000580174
62,600.058,0.9682,1.50697,0.87151,1.06863,0.73721,0.7,0.7175,0.49089,0.74162,0.70556,0.7206,0.47693,1.14727,1.76497,1.07635,1.22732,0.000566027,0.000566027,0.000566027
63,609.522,0.9536,1.50148,0.89865,1.06751,0.64742,0.65556,0.68225,0.46155,0.62144,0.68217,0.68395,0.45743,1.16404,1.77145,1.11157,1.25098,0.00055188,0.00055188,0.00055188
64,619.247,0.92846,1.49037,0.86661,1.05665,0.69129,0.70927,0.70359,0.48647,0.68157,0.69879,0.70102,0.47438,1.11903,1.81088,1.11662,1.21777,0.000537733,0.000537733,0.000537733
65,628.934,0.96148,1.50225,0.9012,1.06311,0.68021,0.77124,0.72433,0.50799,0.67249,0.76415,0.7181,0.4876,1.07981,1.7312,1.00785,1.16448,0.000523586,0.000523586,0.000523586
66,638.495,0.97122,1.50887,0.88706,1.06171,0.67684,0.73018,0.73204,0.50765,0.6865,0.74826,0.7338,0.49456,1.08789,1.72402,1.02137,1.19701,0.000509438,0.000509438,0.000509438
67,648.064,0.96364,1.50877,0.88195,1.06119,0.75223,0.71111,0.72594,0.49826,0.76461,0.72222,0.72761,0.49153,1.11691,1.73772,1.00263,1.20669,0.000495291,0.000495291,0.000495291
68,657.525,0.97161,1.44302,0.86018,1.06686,0.73396,0.67373,0.68664,0.48713,0.73396,0.67373,0.69134,0.46351,1.12096,1.75364,1.10525,1.20778,0.000481144,0.000481144,0.000481144
69,667.011,0.93724,1.47529,0.86237,1.05025,0.67064,0.70641,0.71925,0.5083,0.67209,0.72778,0.72441,0.48642,1.0711,1.78667,1.03301,1.18193,0.000466997,0.000466997,0.000466997
70,676.819,0.9431,1.44069,0.83572,1.06487,0.73854,0.66111,0.73838,0.5152,0.73854,0.66111,0.73683,0.48256,1.09367,1.87796,1.04214,1.19527,0.00045285,0.00045285,0.00045285
71,686.545,0.94388,1.41567,0.82568,1.04543,0.68425,0.6826,0.69287,0.48928,0.69415,0.69356,0.69626,0.47987,1.10144,1.8279,1.08535,1.22894,0.000438703,0.000438703,0.000438703
