epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,585.369,1.25171,1.59076,1.44693,0.60974,0.77326,0.66654,0.2999,1.79404,1.54618,1.70806,0.00026422,0.00026422,0.00026422
87,592.241,1.2454,1.52972,1.43059,0.55243,0.82383,0.64722,0.36347,1.41968,1.40072,1.44373,0.000247716,0.000247716,0.000247716
88,599.162,1.21458,1.52958,1.40991,0.48403,0.91107,0.6298,0.38957,1.16793,1.37213,1.29599,0.000231213,0.000231213,0.000231213
89,606.867,1.33334,1.59832,1.51007,0.48316,0.73028,0.63546,0.37595,1.20011,1.38333,1.31367,0.00021471,0.00021471,0.00021471
90,614.616,1.19132,1.50472,1.40115,0.47732,0.91956,0.64022,0.41245,1.10943,1.33006,1.2669,0.000198206,0.000198206,0.000198206
91,639.445,1.36168,1.83508,1.54219,0.47876,0.91779,0.64388,0.41718,1.17621,1.32761,1.29244,0.000181703,0.000181703,0.000181703
92,643.522,1.35928,1.77521,1.5269,0.47544,0.95796,0.63134,0.39297,1.19627,1.36477,1.31391,0.0001652,0.0001652,0.0001652
93,647.307,1.30276,1.75936,1.51492,0.5078,0.80428,0.63823,0.39242,1.14628,1.3761,1.29143,0.000148696,0.000148696,0.000148696
94,651.935,1.20149,1.63892,1.42341,0.59258,0.64558,0.614,0.37287,1.11255,1.40536,1.28842,0.000132193,0.000132193,0.000132193
95,656.747,1.38387,1.75161,1.59035,0.5913,0.63959,0.59668,0.35327,1.13436,1.41141,1.29774,0.00011569,0.00011569,0.00011569
96,661.104,1.29854,1.725,1.52784,0.60165,0.6327,0.58397,0.34893,1.14774,1.39258,1.29774,9.91865e-05,9.91865e-05,9.91865e-05
97,665.617,1.29447,1.66651,1.50667,0.60067,0.62762,0.57765,0.3527,1.13059,1.37893,1.28648,8.26832e-05,8.26832e-05,8.26832e-05
98,670.016,1.19859,1.59394,1.43797,0.59934,0.63266,0.57617,0.36001,1.11555,1.36268,1.27604,6.61799e-05,6.61799e-05,6.61799e-05
99,674.32,1.23352,1.62052,1.46426,0.59719,0.65118,0.56944,0.35518,1.10679,1.35641,1.27083,4.96766e-05,4.96766e-05,4.96766e-05
100,679.092,1.14489,1.55337,1.39305,0.47621,0.73199,0.56588,0.36679,1.07351,1.34214,1.25095,3.31733e-05,3.31733e-05,3.31733e-05
