epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,578.704,0.88974,1.37379,0.74878,1.02982,0.67762,0.65556,0.63536,0.44964,0.6937,0.67222,0.65507,0.44196,1.1111,1.77587,1.16356,1.26947,0.000594321,0.000594321,0.000594321
61,588.323,0.90317,1.40104,0.77854,1.04667,0.78148,0.69153,0.69328,0.48181,0.7808,0.69092,0.69305,0.46987,1.13158,1.78816,1.0862,1.30272,0.000580174,0.000580174,0.000580174
62,597.791,0.92585,1.42831,0.77617,1.07186,0.72228,0.67594,0.68659,0.47418,0.72228,0.67594,0.68448,0.46616,1.13442,1.82487,1.10241,1.28382,0.000566027,0.000566027,0.000566027
63,607.181,0.90214,1.40526,0.80494,1.05816,0.74304,0.68636,0.71616,0.50666,0.74304,0.68636,0.71729,0.48113,1.13107,1.95536,1.05458,1.27793,0.00055188,0.00055188,0.00055188
64,616.671,0.87954,1.42149,0.77772,1.05242,0.77557,0.63263,0.71482,0.50082,0.65567,0.76667,0.71751,0.49143,1.12404,1.80504,1.0847,1.29745,0.000537733,0.000537733,0.000537733
65,626.289,0.91674,1.45063,0.80036,1.06144,0.7393,0.64622,0.71271,0.49185,0.7393,0.64622,0.70747,0.48266,1.1195,1.82843,1.04899,1.29321,0.000523586,0.000523586,0.000523586
66,635.751,0.93657,1.43672,0.82203,1.06037,0.64507,0.7265,0.72589,0.50101,0.64507,0.7265,0.72623,0.49253,1.10136,1.80805,1.03119,1.26261,0.000509438,0.000509438,0.000509438
67,645.197,0.92245,1.41501,0.79441,1.05341,0.66789,0.75846,0.67804,0.46773,0.66789,0.75846,0.6798,0.46132,1.1486,1.81752,1.10186,1.32018,0.000495291,0.000495291,0.000495291
68,654.57,0.9385,1.37886,0.77305,1.06301,0.70581,0.70034,0.67873,0.45954,0.69569,0.68952,0.66823,0.46001,1.12702,1.90689,1.12346,1.28264,0.000481144,0.000481144,0.000481144
69,663.86,0.88083,1.39199,0.78643,1.03759,0.5969,0.74757,0.67331,0.4747,0.60474,0.75868,0.6733,0.45887,1.11242,1.87418,1.11716,1.2786,0.000466997,0.000466997,0.000466997
70,673.453,0.89989,1.37127,0.76664,1.05337,0.73803,0.68737,0.72323,0.50296,0.73803,0.68737,0.72437,0.48339,1.13351,1.9081,0.9994,1.29975,0.00045285,0.00045285,0.00045285
71,682.955,0.86576,1.34768,0.73411,1.01777,0.69956,0.72778,0.6984,0.46901,0.69657,0.72778,0.69199,0.45799,1.09859,1.81268,1.03461,1.27279,0.000438703,0.000438703,0.000438703
72,692.444,0.8934,1.37441,0.75136,1.05252,0.71596,0.72778,0.67568,0.45684,0.67884,0.75773,0.65682,0.43624,1.13724,1.82987,1.12464,1.30774,0.000424556,0.000424556,0.000424556
73,701.936,0.85867,1.37795,0.72788,1.02282,0.66182,0.77222,0.74746,0.53017,0.66182,0.77222,0.74803,0.5061,1.07188,1.93458,0.97254,1.24514,0.000410409,0.000410409,0.000410409
74,711.322,0.85509,1.32224,0.70314,1.02686,0.75395,0.74416,0.7415,0.51905,0.73491,0.73333,0.7397,0.50498,1.10776,1.87411,1.08013,1.26388,0.000396262,0.000396262,0.000396262
